Instituto: Presupuesto
1,885119424
2,8358412114
3,8358412114
4,8358412114
5,8358412114
6,8358412114
7,8358412114
8,8358412114
9,8358412114
10,8358412114
11,8358412114
12,8358412114
13,8358412114
14,8358412114
15,8358412114
16,8358412114
17,8358412114
18,8358412114
19,8358412114
20,8358412114
21,8358412114
22,8358412114
23,8358412114
24,8358412114
25,8358412114
26,8358412114
27,8358412114
28,8358412114
29,8358412114
30,8358412114
31,8358412114
32,8358412114
33,8358412114
34,8358412114
35,8358412114
36,8358412114
37,8358412114
38,8358412114
39,8358412114
40,5862264933
41,427926695
42,423753984
43,443034312
44,551070769
45,403727941
46,364963375
47,493346613
48,322158939
49,490109162
50,444143550
51,373177328
52,430252555
53,349921827
54,465441592
55,407860298
56,455155096
57,481672591
58,356554267
59,366597806
60,407834567
61,541397813
62,379169502
63,760259401
64,638564345
65,419017598
66,468975306
67,373238636
68,417710285
69,395011149
70,404521007
